d,rep,seed,noise_scale,T,eta,certificate_ok,angle_to_predicted_deg,a,min_gamma,min_xi,min_zeta,min_projection_on_S
2,0,2026091700,0.0001,200000,1.0,True,0.005176929495301057,1.5997819302342915,1.6122422179918032,0.012460287757511734,0.7998249934860803,0.1995862396376934
2,1,2026091701,0.0001,200000,1.0,True,0.001121767602275609,1.5998525571587103,1.61229112160993,0.01243856445121942,0.8001155316950893,0.1998931142272544
2,2,2026091702,0.0001,200000,1.0,True,0.0008133089161191521,1.5997599021368725,1.6122086501703565,0.01244874803348403,0.7999614385551721,0.199658372853304
2,3,2026091703,0.0001,200000,1.0,True,0.003056165501782507,1.600009657460896,1.6124446474405512,0.012434989979655186,0.8002075588144535,0.20016602973875527
2,4,2026091704,0.0001,200000,1.0,True,0.0025959581251581137,1.6000010453160245,1.6124584860960032,0.012457440779978714,0.7999274317251666,0.1999477286970196
2,5,2026091705,0.0001,200000,1.0,True,0.005504772441128866,1.6000199823235974,1.612480717798597,0.01246073547499966,0.7998919126190133,0.19994618087998264
2,6,2026091706,0.0001,200000,1.0,True,0.00351098828414736,1.5999737394703144,1.612428144885536,0.012454405415221435,0.7999560139365363,0.19993323646587344
2,7,2026091707,0.0001,200000,1.0,True,0.0024982686139768183,1.6001259174755382,1.6125835613889457,0.012457643913407434,0.7999626629319903,0.2001366614003605
2,8,2026091708,0.0001,200000,1.0,True,0.0027452776625120864,1.5998941144511813,1.6123456982665474,0.012451583815365989,0.7999672373206909,0.1998376806736391
2,9,2026091709,0.0001,200000,1.0,True,0.00037926389765430025,1.6002621697610293,1.6127155102618709,0.012453340500841561,0.800057572536213,0.20038456683878447
2,10,2026091710,0.0001,200000,1.0,True,0.0008234853730642922,1.6000895664578956,1.6125502214420822,0.012460654984186458,0.7999147154260717,0.20005380551588198
2,11,2026091711,0.0001,200000,1.0,True,0.004019334198697083,1.5998568134807691,1.6123023438267368,0.012445530345967622,0.8000305622865025,0.19983584637929344
3,0,2026091800,0.0001,200000,1.0,True,0.007106804143371419,1.6000157839831466,1.6124830120760842,0.012467228092937663,0.7998103510110605,0.19988044704551386
3,1,2026091801,0.0001,200000,1.0,True,0.004684465852019745,1.6001291467357568,1.612577656595235,0.012448509859478119,0.8000765846850153,0.20022507820417204
3,2,2026091802,0.0001,200000,1.0,True,0.0020987692584253535,1.6000177210041493,1.6124797541618259,0.01246203315767684,0.7998757540862,0.19993129427218911
3,3,2026091803,0.0001,200000,1.0,True,0.00597560963177925,1.5998049718646445,1.6122564677480298,0.012451495883385172,0.7999400893566979,0.1997014074272432
3,4,2026091804,0.0001,200000,1.0,True,0.004598477408097274,1.6002468084937784,1.612709093625386,0.012462285131607695,0.7999420989569133,0.2002791967963974
3,5,2026091805,0.0001,200000,1.0,True,0.006466046469805815,1.6001535574457633,1.6126126707858677,0.012459113340104475,0.7999523582151258,0.20016512681048207
3,6,2026091806,0.0001,200000,1.0,True,0.002847218754304841,1.599940012238961,1.6124002695034478,0.012460257264486586,0.7998738072330578,0.19982850376148598
3,7,2026091807,0.0001,200000,1.0,True,0.007262974030920699,1.5998964119377515,1.612344984066302,0.012448572128550385,0.8000046100465357,0.19986830339914008
3,8,2026091808,0.0001,200000,1.0,True,0.0036133236950729774,1.5999678411531497,1.6124274675071422,0.012459626353992163,0.7998898978894726,0.19987667931086328
3,9,2026091809,0.0001,200000,1.0,True,0.0038105018757078747,1.5998798227474307,1.612330201734679,0.012450378987248094,0.799977754232863,0.19982692471933397
3,10,2026091810,0.0001,200000,1.0,True,0.008572512587174501,1.6000683659130208,1.6125138489285447,0.01244548301552382,0.8000949883632987,0.20015947295423292
3,11,2026091811,0.0001,200000,1.0,True,0.011883757719754567,1.599788904477102,1.6122314373227027,0.012442532845600608,0.8000454261419258,0.19975835214302365
5,0,2026092000,0.0001,200000,1.0,True,0.006542974039471151,1.6000913646222525,1.612531378156429,0.01244001353417664,0.8001695576425559,0.20024451856016748
5,1,2026092001,0.0001,200000,1.0,True,0.010513348622602057,1.5998631748617071,1.6123097940787003,0.012446619216993417,0.8000175922445213,0.1998345590727462
5,2,2026092002,0.0001,200000,1.0,True,0.010419162806609608,1.599791986999531,1.612255342030293,0.01246335503076146,0.7997895186787612,0.19957318469080115
5,3,2026092003,0.0001,200000,1.0,True,0.005845629608995027,1.6000044759670178,1.6124386826711008,0.012434206704082858,0.8002153756605206,0.2001650843031363
5,4,2026092004,0.0001,200000,1.0,True,0.012549376058741282,1.6001119671487916,1.6125544773214104,0.012442510172618656,0.8001444605508796,0.20025294851034822
5,5,2026092005,0.0001,200000,1.0,True,0.0056862493342194325,1.6000454620550537,1.6125142521917912,0.012468790136737599,0.7998003624534491,0.19991178511770424
5,6,2026092006,0.0001,200000,1.0,True,0.009127821276389407,1.600383844779301,1.6128315779750066,0.012447733195705616,0.8001624574154922,0.20062086492655692
5,7,2026092007,0.0001,200000,1.0,True,0.004100121068982638,1.599980708591679,1.6124133247640382,0.012432616172359108,0.8002282732251894,0.2001436963314097
5,8,2026092008,0.0001,200000,1.0,True,0.009471525114648407,1.599883797824214,1.6123133915414323,0.012429593717218222,0.8002348544337498,0.20002216446161325
5,9,2026092009,0.0001,200000,1.0,True,0.002245706125285632,1.5999364917726409,1.612389676071192,0.012453184298551287,0.7999604654346967,0.1998880680543905
5,10,2026092010,0.0001,200000,1.0,True,0.011513215228696779,1.600001417189402,1.6124475166389385,0.01244609944953679,0.8000656880949778,0.2000504388822019
5,11,2026092011,0.0001,200000,1.0,True,0.006313205431033393,1.6000805536122156,1.6125428207712913,0.012462267159075531,0.7998924997877366,0.20002592674804479
10,0,2026092500,0.0001,200000,1.0,True,0.010064135132924649,1.5998478001778043,1.6122925151611254,0.01244471498332073,0.8000371527948248,0.19982911936029046
10,1,2026092501,0.0001,200000,1.0,True,0.011580187881034515,1.6001455757563423,1.6126006860056878,0.012455110249345414,0.7999983748892019,0.2001888184856349
10,2,2026092502,0.0001,200000,1.0,True,0.016776307871592358,1.6001988654304906,1.6126552084564607,0.012456343025969967,0.7999992423003041,0.20025925351582344
10,3,2026092503,0.0001,200000,1.0,True,0.011084994212709044,1.5996589017340954,1.6121060117801411,0.01244711004604592,0.7999491395743479,0.19951770435721808
10,4,2026092504,0.0001,200000,1.0,True,0.010225570129819346,1.6000427672458255,1.6125039590142116,0.012461191768385477,0.7998923538807725,0.19997627044525856
10,5,2026092505,0.0001,200000,1.0,True,0.016424881419616205,1.5999132536757237,1.612344069864374,0.012430816188650832,0.8002272919147251,0.20005503946264994
10,6,2026092506,0.0001,200000,1.0,True,0.010124214948584166,1.5998494564091454,1.6122983598249185,0.012448903415773331,0.7999858303623363,0.19979332244254555
10,7,2026092507,0.0001,200000,1.0,True,0.00862292769370856,1.5999058887530737,1.612371128831354,0.012465240078280471,0.7998014343691753,0.19973062346608764
10,8,2026092508,0.0001,200000,1.0,True,0.013520725345242188,1.5999302027133033,1.6123767018998567,0.012446499186553713,0.8000376351595218,0.19993688952933697
10,9,2026092509,0.0001,200000,1.0,True,0.013087620510435891,1.5999406366145443,1.6123912329415453,0.012450596327001125,0.7999919940197996,0.19991680592289265
10,10,2026092510,0.0001,200000,1.0,True,0.0151896877939047,1.5998960712771624,1.612350412003912,0.01245434072675002,0.7999314248194636,0.19981391419454558
10,11,2026092511,0.0001,200000,1.0,True,0.01657521497040313,1.599850249172002,1.612291542889055,0.012441293717052387,0.8000785550623695,0.19986294925930814
20,0,2026093500,0.0001,200000,1.0,True,0.0145188718224291,1.6002591300498508,1.6127170278038299,0.0124578977539794,0.7999987811549542,0.20033748544219332
20,1,2026093501,0.0001,200000,1.0,True,0.018022060340963836,1.6000577259819808,1.612503358233642,0.012445632251661115,0.8000871984924235,0.2001401049844164
20,2,2026093502,0.0001,200000,1.0,True,0.016548301051256153,1.5998749508627168,1.6123230095864614,0.012448058723744456,0.800001960798593,0.19983867424250837
20,3,2026093503,0.0001,200000,1.0,True,0.021635965303992324,1.599899650824346,1.6123501317842293,0.012450480959883844,0.7999780572296743,0.19985346893199615
20,4,2026093504,0.0001,200000,1.0,True,0.0258157022413065,1.5999687685652693,1.6124348463456286,0.012466077780359474,0.7998033772076394,0.19981439393001044
20,5,2026093505,0.0001,200000,1.0,True,0.01839102461893136,1.5998559718873495,1.612310813320431,0.012454841433080885,0.799912339908646,0.1997478151610141
20,6,2026093506,0.0001,200000,1.0,True,0.01653684947519799,1.5999921656218357,1.6124600115982104,0.0124678459763751,0.7997938409602717,0.1998378724884084
20,7,2026093507,0.0001,200000,1.0,True,0.013925563521569814,1.6002422200992321,1.6126962231552808,0.012454003056048138,0.8000410187542154,0.20034659345868755
20,8,2026093508,0.0001,200000,1.0,True,0.021207011962974663,1.6001209369654197,1.6125752899979584,0.012454353032538387,0.7999965104336594,0.20015557118999805
20,9,2026093509,0.0001,200000,1.0,True,0.022335859722975547,1.6000892667826998,1.6125229651651705,0.012433698382470338,0.8002433391933591,0.20029673641707757
20,10,2026093510,0.0001,200000,1.0,True,0.020340796544274516,1.600147415236829,1.6125929458782473,0.012445530641418304,0.8001157400510023,0.20027850194023253
20,11,2026093511,0.0001,200000,1.0,True,0.013184328095429144,1.5998701147716217,1.6123069551880032,0.01243684041638167,0.8001405392340797,0.19993484763970737
