d,rep,seed,T,eta,angle_to_predicted_deg,terminal_tau
5,0,2026092000,350000,0.1,0.006563083915799629,4.1430186835913224e-05
5,0,2026092000,350000,1.0,0.006536386714322482,4.181462403566851e-06
5,0,2026092000,350000,5.0,0.006519691728715019,8.418063248760207e-07
