rule,iteration,angle_to_maxmargin_deg,angle_to_active_deg,tau,t_times_tau
gd,1,11.309932474020162,0.0,,
gd,2,10.642812747379914,0.6671197266402251,,
gd,3,9.997656350019673,1.3122761240003449,,
gd,4,9.382517497119128,1.9274149769009088,,
gd,5,8.801433191328188,2.5084992826918127,,
gd,6,8.255827732990754,3.0541047410291435,,
gd,7,7.745535191432616,3.564397282587382,,
gd,8,7.269464844611478,4.040467629408653,,
gd,9,6.8260164868645035,4.483915987155604,,
gd,10,6.413335726747303,4.896596747272981,,
gd,11,6.02946985756574,5.280462616454461,,
gd,12,5.672462238009001,5.637470236010988,,
gd,13,5.340408464142432,5.969524009877706,,
gd,14,5.0314886262449665,6.278443847775099,,
gd,15,4.743984506993373,6.56594796702668,,
gd,16,4.476287276990811,6.833645197029225,,
gd,17,4.226899217585527,7.083033256434522,,
gd,18,3.994431739225196,7.315500734794907,,
gd,20,3.5752232442840746,7.734709229736,,
gd,21,3.3862070039383476,7.923725470081695,,
gd,22,3.2095483750277536,8.100384098992329,,
gd,23,3.044323826020324,8.26560864799975,,
gd,25,2.744848749075044,8.56508372494498,,
gd,26,2.6090997233381588,8.700832750681831,,
gd,28,2.362273540532335,8.947658933487833,,
gd,29,2.2500305312333237,9.059901942786704,,
gd,31,2.0453093215433724,9.26462315247666,,
gd,33,1.8639659523959125,9.445966521624158,,
gd,35,1.7028997561882813,9.60703271783171,,
gd,37,1.5594686439527343,9.750463830067153,,
gd,39,1.4314156620723437,9.878516811947806,,
gd,42,1.264017877684263,10.045914596335614,,
gd,44,1.1665396961836614,10.143392777836569,,
gd,47,1.0381786142406884,10.27175385977915,,
gd,50,0.9279782442104201,10.38195422980914,,
gd,53,0.8329125002356604,10.47701997378424,,
gd,56,0.7505237237944906,10.559408750225328,,
gd,59,0.6788053184663408,10.631127155553706,,
gd,63,0.5969756876559263,10.712956786363621,,
gd,66,0.5442415736799864,10.765690900339548,,
gd,70,0.4834310143418726,10.826501459677981,,
gd,75,0.41990856387260567,10.890023910147184,,
gd,79,0.3771740443159955,10.932758429703881,,
gd,84,0.33186667256701563,10.978065801452992,,
gd,89,0.293861928842313,11.016070545178565,,
gd,94,0.2617322452399465,11.04820022877972,,
gd,100,0.22939024702418936,11.080542226994659,,
gd,106,0.20245867810587687,11.10747379591329,,
gd,112,0.179830022201219,11.13010245181466,,
gd,119,0.15775144667605273,11.15218102734406,,
gd,126,0.13936817959904596,11.170564294418327,,
gd,134,0.12191323881412343,11.188019235200773,,
gd,142,0.1074422070594297,11.202490266960124,,
gd,150,0.09532345959482237,11.214609014420802,,
gd,159,0.08391432649445346,11.226018147520511,,
gd,169,0.0734124234502527,11.236520050569764,,
gd,179,0.06470493760806381,11.245227536406912,,
gd,190,0.056747274760660875,11.253185199258931,,
gd,201,0.05012532847501094,11.259807145543883,,
gd,213,0.04409878807495372,11.265833685942958,,
gd,226,0.03867883779602635,11.271253636225646,,
gd,240,0.03385060382311718,11.27608187019549,,
gd,254,0.02984173603304382,11.280090737971845,,
gd,269,0.026260521487245496,11.283671952520663,,
gd,285,0.023081901850935362,11.286850572166387,,
gd,303,0.020125355793737504,11.289807118190495,,
gd,321,0.01768176548803971,11.292250708514329,,
gd,340,0.015537697272007408,11.294394776711686,,
gd,360,0.013660620068226477,11.29627185391243,,
gd,382,0.011948844287599417,11.297983629709242,,
gd,405,0.010468955197240788,11.299463518776712,,
gd,429,0.009188808359271527,11.300743665646731,,
gd,455,0.008040196315496831,11.301892277659295,,
gd,482,0.00705279718774917,11.302879676826729,,
gd,511,0.006174539237952111,11.303757934733769,,
gd,542,0.005398903727117716,11.304533570246564,,
gd,575,0.00471771685501111,11.305214757157419,,
gd,609,0.004137523012125914,11.305794950963762,,
gd,646,0.0036155627506074778,11.306316911186723,,
gd,684,0.0031723296875533612,11.30676014421297,,
gd,726,0.00276773888211655,11.307164734977563,,
gd,769,0.0024259540602745277,11.30750651993841,,
gd,815,0.0021235619639496067,11.307808911777915,,
gd,864,0.0018575738656295218,11.308074900103238,,
gd,916,0.001624650041886457,11.308307823874587,,
gd,971,0.001421359279024574,11.308511114114838,,
gd,1029,0.0012443545137605047,11.308688119274684,,
gd,1091,0.001088188688095579,11.308844284615503,,
gd,1157,0.0009511555727735416,11.308981318322662,,
gd,1226,0.0008329567263475973,11.309099516216047,,
gd,1300,0.0007283504896075846,11.309204123609991,,
gd,1378,0.0006374139331457461,11.309295059474419,,
gd,1460,0.0005584658658898323,11.3093740072341,,
gd,1548,0.0004885264155662867,11.30944394735229,,
gd,1641,0.0004275641820053179,11.309504909853313,,
gd,1739,0.00037453133832734834,11.309557941180854,,
gd,1844,0.00032764446637425414,11.309604827857097,,
gd,1954,0.000287106699127457,11.309645366256467,,
gd,2072,0.0002512141000089871,11.309681258998886,,
gd,2196,0.00022008986349254892,11.309712382672236,,
gd,2328,0.00019273739147366442,11.309739736681758,,
gd,2468,0.00016879258293566528,11.309763680611411,,
gd,2616,0.00014789518476643394,11.309784577765019,,
gd,2773,0.00012958529039604558,11.309802884610322,,
gd,2939,0.00011360002987965097,11.309818873840861,,
gd,3115,9.959188158145533e-05,11.309832881888934,,
gd,3302,8.728974410674588e-05,11.30984517867246,,
gd,3501,7.648782699021904e-05,11.309855985193403,,
gd,3711,6.706336286556692e-05,11.309865404500544,,
gd,3934,5.879271553431008e-05,11.309873669601716,,
gd,4170,5.156679739517735e-05,11.309880898125833,,
gd,4420,4.5233891446213415e-05,11.309887228418024,,
gd,4685,3.96889974394917e-05,11.309892776691456,,
gd,4966,3.48168013624622e-05,11.309897641745373,,
gd,5265,3.054553456666312e-05,11.309901921438634,,
gd,5581,2.682262769242261e-05,11.309905660975236,,
gd,5916,2.3521425216738414e-05,11.30990894003206,,
gd,6271,2.063237243740307e-05,11.309911814605165,,
gd,6647,1.8131386516320817e-05,11.30991433388932,,
gd,7046,1.5926940848252804e-05,11.309916546235236,,
gd,7469,1.392462677356116e-05,11.30991848720828,,
gd,7917,1.2283663699401133e-05,11.309920188758557,,
gd,8392,1.079947731352768e-05,11.309921682347191,,
gd,8896,9.430238149809192e-06,11.309922994384737,,
gd,9430,8.321556147031972e-06,11.30992414537684,,
gd,9996,7.244509618354405e-06,11.309925155661322,,
gd,10596,6.331754823653221e-06,11.309926042680377,,
gd,11232,5.533085616490783e-06,11.30992682151969,,
gd,11906,4.829673078902934e-06,11.309927505314239,,
gd,12621,4.26886823125797e-06,11.309928106323467,,
gd,13378,3.818191820832846e-06,11.309928633615522,,
gd,14182,3.1945284701301985e-06,11.309929097720872,,
gd,15033,2.831646840510158e-06,11.30992950484646,,
gd,15935,2.4148365394514667e-06,11.309929862580468,,
gd,16892,2.2588727439225506e-06,11.309930177238078,,
gd,17905,1.9090959104164224e-06,11.309930453409228,,
gd,18980,1.4787793334710982e-06,11.309930696451573,,
gd,20119,1.2074182697257333e-06,11.309930910012934,,
gd,21327,8.537736462515939e-07,11.30993109787405,,
gd,22607,0.0,11.30993126299154,,
gd,23964,0.0,11.309931408214048,,
gd,25402,0.0,11.309931535898137,,
gd,26927,0.0,11.309931648257848,,
gd,28543,0.0,11.309931747064093,,
gd,30257,0.0,11.309931834038121,,
gd,32073,0.0,11.309931910521952,,
gd,33998,8.537736462515939e-07,11.30993197782302,,
gd,36039,0.0,11.309932037061552,,
gd,38202,0.0,11.309932089184398,,
gd,40495,0.0,11.309932135065438,,
gd,42925,0.0,11.309932175442931,,
gd,45502,0.0,11.309932211004673,,
gd,48233,0.0,11.30993224230557,,
gd,51128,0.0,11.309932269866596,,
gd,54197,0.0,11.309932294137534,,
gd,57450,0.0,11.309932315510045,,
gd,60899,0.0,11.309932334336763,,
gd,64554,0.0,11.309932350914279,,
gd,68429,0.0,11.309932365518815,,
gd,72536,0.0,11.309932378382443,,
gd,76890,0.0,11.309932389716383,,
gd,81505,0.0,11.309932399701498,,
gd,86397,0.0,11.309932408499606,,
gd,91583,0.0,11.309932416253002,,
gd,97080,0.0,11.309932423085362,,
gd,102907,0.0,11.309932429106542,,
gd,109084,0.0,11.309932434413918,,
gd,115631,0.0,11.30993243909127,,
gd,122572,0.0,11.30993244321485,,
gd,129929,0.0,11.309932446850048,,
gd,137728,0.0,11.30993245005496,,
gd,145995,0.0,11.309932452880572,,
gd,154758,0.0,11.309932455371806,,
gd,164047,0.0,11.30993245756856,,
gd,173894,0.0,11.309932459505701,,
gd,184331,0.0,11.309932461213814,,
gd,195395,0.0,11.309932462720473,,
gd,207124,0.0,11.309932464049545,,
gd,219556,0.0,11.309932465221763,,
gd,232734,0.0,11.309932466255608,,
gd,246704,0.0,11.309932467167725,,
gd,261512,0.0,11.309932467972319,,
gd,277208,0.0,11.309932468682169,,
gd,293847,0.0,11.309932469308787,,
gd,311485,0.0,11.309932469861488,,
gd,330181,0.0,11.309932470349024,,
gd,350000,0.0,11.309932470779442,,
fixed,1,11.309932474020162,0.0,0.2,0.2
fixed,2,11.309932474020162,0.0,0.2,0.4
fixed,3,11.309932474020162,0.0,0.2,0.6000000000000001
fixed,4,11.309932474020162,0.0,0.2,0.8
fixed,5,11.309932474020162,0.0,0.2,1.0
fixed,6,11.309932474020162,0.0,0.2,1.2000000000000002
fixed,7,11.309932474020162,0.0,0.2,1.4000000000000001
fixed,8,11.309932474020162,0.0,0.2,1.6
fixed,9,11.309932474020162,0.0,0.2,1.8
fixed,10,11.309932474020162,0.0,0.2,2.0
fixed,11,11.303207385663049,0.006725088358480866,0.2,2.2
fixed,12,11.280388783404165,0.029543690604914505,0.2,2.4000000000000004
fixed,13,11.247075965165166,0.06285650885139427,0.2,2.6
fixed,14,11.206679385859887,0.10325308815898399,0.2,2.8000000000000003
fixed,15,11.161385012455593,0.14854746156019885,0.2,3.0
fixed,16,11.112651585722872,0.19728088829580717,0.2,3.2
fixed,17,11.06148473877384,0.24844773524364677,0.2,3.4000000000000004
fixed,18,11.00859648124817,0.3013359927725451,0.2,3.6
fixed,20,10.89958198212488,0.41035049189589884,0.2,4.0
fixed,21,10.84412042567646,0.4658120483429817,0.2,4.2
fixed,22,10.78833352347972,0.5215989505400095,0.2,4.4
fixed,23,10.732386964013573,0.5775455100058223,0.2,4.6000000000000005
fixed,25,10.620499703129267,0.6894327708905092,0.2,5.0
fixed,26,10.56473750040348,0.7451949736162459,0.2,5.2
fixed,28,10.442085258887765,0.8678472151328059,0.2,5.6000000000000005
fixed,29,10.363235087018618,0.9466973870012905,0.2,5.800000000000001
fixed,31,10.176424458135854,1.1335080158841393,0.2,6.2
fixed,33,9.95889261932626,1.351039854693738,0.2,6.6000000000000005
fixed,35,9.718131824328399,1.59180064969159,0.2,7.0
fixed,37,9.459796905438438,1.8501355685814431,0.2,7.4
fixed,39,9.188233240759228,2.121699233261128,0.2,7.800000000000001
fixed,42,8.763300978274266,2.546631495745777,0.2,8.4
fixed,44,8.471992629642102,2.8379398443779227,0.2,8.8
fixed,47,8.027826303146167,3.2821061708739085,0.2,9.4
fixed,50,7.579358735193847,3.73057373882632,0.2,10.0
fixed,53,7.130306289175499,4.179626184844566,0.2,10.600000000000001
